zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
94806,1062271711,2147.28749,494704,238868,255836,724463300,337808410.6
94901,972079188.9,2761.635678,351994,159611,192383,674925700,297153488.9
94903,801712820.8,2881.734048,278205,129228,148977,560536000,241176820.8
94904,308631527.6,3520.819626,87659,41409,46250,213976100,94655427.63
94920,501898117.8,3715.727067,135074,63895,71179,359530200,142367917.8
94922,6583269.752,2996.481453,2197,,2197,,6583269.752
94923,27691423.5,1627.853948,17011,,17011,,27691423.5
94924,6315461.872,1605.761981,3933,,3933,,6315461.872
94925,265498057.2,2774.274369,95700,47218,48482,191686500,73811557.16
94928,918818311.3,2548.07584,360593,166514,194079,601147900,317670411.3
94929,7728381.308,1589.54778,4862,,4862,,7728381.308
94930,24420859.14,3310.405198,7377,4333,3044,19380100,5040759.144
94931,212128940.1,2488.491156,85244,40110,45134,133284700,78844240.1
94933,6555236.76,1981.631427,3308,,3308,,6555236.76
94937,6297320.268,1446.662134,4353,,4353,,6297320.268
94938,0,0,0,,0,,0
94939,292097024.9,2756.568504,105964,48188,57776,201484500,90612524.94
94940,0,0,0,,0,,0
94941,927582740,3107.490276,298499,141401,157098,673892300,253690440
94945,478632292.2,2842.167004,168404,81300,87104,322377200,156255092.2
94946,5573433.76,2483.704884,2244,,2244,,5573433.76
94947,647551204.5,2846.016132,227529,108637,118892,439957700,207593504.5
94949,449524860.8,2840.760996,158241,74760,83481,298063400,151461460.8
94951,112891952.3,3203.608283,35239,15499,19740,68428000,44463952.27
94952,815545502.4,2696.63329,302431,140128,162303,545498900,270046602.4
94954,862099817.7,2569.367322,335530,162558,172972,573863700,288236117.7
94956,1519233.944,1553.408941,978,,978,,1519233.944
94957,119474731,6027.988446,19820,9833,9987,83857600,35617131.01
94960,453959029.7,3171.876954,143120,69659,73461,327558900,126400129.7
94963,1612340.6,2193.66068,735,,735,,1612340.6
94964,0,0,0,0,0,0,0
94965,307495991.9,2458.964678,125051,51999,73052,207211300,100284691.9
94970,13614067.66,1731.84934,7861,,7861,,13614067.66
94971,4789342.512,1717.225712,2789,,2789,,4789342.512
94972,0,0,0,,0,,0
94973,10056194.42,2306.466611,4360,,4360,,10056194.42
95002,30395244.92,2814.113964,10801,5345,5456,18381900,12013344.92
95003,611122049.7,2468.182753,247600,113546,134054,405445400,205676649.7
95004,50022072.21,2369.366816,21112,5696,15416,21557800,28464272.21
95005,149323616.8,3131.524552,47684,19752,27932,91366600,57957016.76
95006,134169987.3,2552.070214,52573,7928,44645,34878300,99291687.35
95007,22748670.84,3422.396697,6647,2940,3707,15277800,7470870.844
95008,1009436721,2310.151162,436957,191962,244995,637198600,372238121.2
95010,227139278.2,2087.60044,108804,49329,59475,162993900,64145378.22
95012,141072279.1,2418.644524,58327,25838,32489,93700600,47371679.14
95013,0,0,0,0,0,0,0
95014,1292816180,2616.438304,494113,222508,271605,864527200,428288979.8
95017,3086505.436,1688.460304,1828,0,1828,0,3086505.436
